KBS Cool FM,http://serpent0.duckdns.org:8088/kbs2fm.pls,,
KBS FM,http://serpent0.duckdns.org:8088/kbsfm.pls,,
CBS 음악 FM,http://aac.cbs.co.kr/cbs939/_definst_cbs939.stream/playlist.m3u8,,
TBS FM,http://tbs.hscdn.com/tbsradio/fm/playlist.m3u8,,
EBS FM,http://ebsonair.ebs.co.kr/fmradiofamilypc/familypc1m/playlist.m3u8,,
KBS Classic FM,http://serpent0.duckdns.org:8088/kbsfm.pls,,
MBC 표준 FM,http://serpent0.duckdns.org:8088/mbcsfm.pls,,
MBC FM4U,http://serpent0.duckdns.org:8088/mbcfm.pls,,
SBS 파워 FM,http://serpent0.duckdns.org:8088/sbsfm.pls,,
SBS 러브 FM,http://serpent0.duckdns.org:8088/sbs2fm.pls,,
CBS 음악 FM,http://aac.cbs.co.kr/cbs939/_definst_/cbs939.stream/playlist.m3u8,,
